index,params,recall@10,qps,build_time_s,queries
Flat,"",0.999440,189.24,0.043,10000
IVFFlat,"nlist=4096 nprobe=1",0.325150,153054.35,43.303,10000
IVFFlat,"nlist=4096 nprobe=2",0.456040,126214.69,43.303,10000
IVFFlat,"nlist=4096 nprobe=4",0.592980,95876.40,43.303,10000
IVFFlat,"nlist=4096 nprobe=8",0.726590,60785.38,43.303,10000
IVFFlat,"nlist=4096 nprobe=16",0.839500,35095.66,43.303,10000
IVFFlat,"nlist=4096 nprobe=32",0.921530,18324.48,43.303,10000
IVFFlat,"nlist=4096 nprobe=64",0.968580,9910.68,43.303,10000
IVFPQ,"nlist=4096 nprobe=1 m=64",0.320970,146617.95,52.629,10000
IVFPQ,"nlist=4096 nprobe=2 m=64",0.446330,133325.00,52.629,10000
IVFPQ,"nlist=4096 nprobe=4 m=64",0.572620,108050.24,52.629,10000
IVFPQ,"nlist=4096 nprobe=8 m=64",0.687260,78100.34,52.629,10000
IVFPQ,"nlist=4096 nprobe=16 m=64",0.776180,47693.30,52.629,10000
IVFPQ,"nlist=4096 nprobe=32 m=64",0.832630,23287.05,52.629,10000
IVFPQ,"nlist=4096 nprobe=64 m=64",0.859900,13436.10,52.629,10000
HNSW,"M=32 efSearch=16",0.861370,109220.35,11.103,10000
HNSW,"M=32 efSearch=32",0.937250,71503.13,11.103,10000
HNSW,"M=32 efSearch=64",0.977450,42183.37,11.103,10000
HNSW,"M=32 efSearch=128",0.993350,24056.61,11.103,10000
HNSW,"M=32 efSearch=256",0.998000,14290.55,11.103,10000
HNSW,"M=32 efSearch=512",0.999140,8493.54,11.103,10000


index,params,recall@10,qps,build_time_s,queries
Flat,"",0.999440,156.99,0.043,10000
IVFFlat,"nlist=1024 nprobe=1",0.397720,135530.18,13.727,10000
IVFFlat,"nlist=1024 nprobe=2",0.553430,81503.21,13.727,10000
IVFFlat,"nlist=1024 nprobe=4",0.708310,44501.62,13.727,10000
IVFFlat,"nlist=1024 nprobe=8",0.837110,22948.02,13.727,10000
IVFFlat,"nlist=1024 nprobe=16",0.926870,11828.41,13.727,10000
IVFFlat,"nlist=1024 nprobe=32",0.976790,6186.60,13.727,10000
IVFFlat,"nlist=1024 nprobe=64",0.995240,3144.89,13.727,10000
IVFPQ,"nlist=1024 nprobe=1 m=64",0.389550,256276.57,21.793,10000
IVFPQ,"nlist=1024 nprobe=2 m=64",0.534920,207931.68,21.793,10000
IVFPQ,"nlist=1024 nprobe=4 m=64",0.671670,141135.88,21.793,10000
IVFPQ,"nlist=1024 nprobe=8 m=64",0.774270,89368.58,21.793,10000
IVFPQ,"nlist=1024 nprobe=16 m=64",0.835970,51892.23,21.793,10000
IVFPQ,"nlist=1024 nprobe=32 m=64",0.865050,29406.58,21.793,10000
IVFPQ,"nlist=1024 nprobe=64 m=64",0.874230,14964.45,21.793,10000
HNSW,"M=32 efSearch=16",0.863530,116730.59,9.358,10000
HNSW,"M=32 efSearch=32",0.938170,74812.78,9.358,10000
HNSW,"M=32 efSearch=64",0.977830,45676.11,9.358,10000
HNSW,"M=32 efSearch=128",0.993170,26620.92,9.358,10000
HNSW,"M=32 efSearch=256",0.998010,15521.12,9.358,10000
HNSW,"M=32 efSearch=512",0.999070,8964.53,9.358,10000


index,params,recall@10,qps,build_time_s,queries
IVFFlat,"nlist=1204 nprobe=1",0.388540,157053.25,16.172,10000
IVFFlat,"nlist=1204 nprobe=2",0.543530,88719.82,16.172,10000
IVFFlat,"nlist=1204 nprobe=4",0.698280,44835.71,16.172,10000
IVFFlat,"nlist=1204 nprobe=8",0.827090,25119.90,16.172,10000
IVFFlat,"nlist=1204 nprobe=16",0.920250,14241.35,16.172,10000
IVFFlat,"nlist=1204 nprobe=32",0.971870,7452.61,16.172,10000
IVFFlat,"nlist=1204 nprobe=64",0.993490,3675.80,16.172,10000
IVFFlat,"nlist=1204 nprobe=128",0.998840,1856.63,16.172,10000
IVFPQ,"nlist=1204 nprobe=1 m=64 nbits=8",0.380730,303780.84,26.351,10000
IVFPQ,"nlist=1204 nprobe=2 m=64 nbits=8",0.525740,256301.70,26.351,10000
