algorithm,implementation,top_k,threads,search_parameter,search_value,recall_at_k,qps,repeat_count,warmup_queries,base_count,query_count,dimension,index_parameters,status,note
faiss-hnsw,Faiss,10,1,efSearch,10,0.70367,30165.7,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,15,0.78384,23494.6,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,20,0.8319,19480.8,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,30,0.88938,14506.1,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,40,0.92138,11573.3,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,50,0.94151,9613.64,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,75,0.96739,6761.63,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,100,0.97967,5235.52,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,150,0.98951,3568.98,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,200,0.99365,2704.17,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,300,0.99701,1794.07,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,400,0.99813,1325.22,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,1,efSearch,800,0.99914,592.679,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,1,efSearch,100,0.917456,4901.71,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,1,efSearch,150,0.955482,3397.82,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,1,efSearch,200,0.972777,2607.74,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,1,efSearch,300,0.987362,1754.49,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,1,efSearch,400,0.992876,1294.65,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,1,efSearch,800,0.998304,584.414,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,10,0.70367,340326,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,15,0.78384,265920,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,20,0.8319,219559,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,30,0.88938,162797,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,40,0.92138,129870,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,50,0.94151,108171,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,75,0.96739,76647.4,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,100,0.97967,59587.6,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,150,0.98951,41483.6,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,200,0.99365,31796.4,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,300,0.99701,21762.1,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,400,0.99813,16548.2,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,10,16,efSearch,800,0.99914,8044.99,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,16,efSearch,100,0.917456,57274.1,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,16,efSearch,150,0.955482,40385.6,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,16,efSearch,200,0.972777,31166,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,16,efSearch,300,0.987362,21451.5,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,16,efSearch,400,0.992876,16315.9,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-hnsw,Faiss,100,16,efSearch,800,0.998304,7989.76,5,1000,1000000,10000,128,M=16;efConstruction=100,ok,
faiss-ivfpq,Faiss,10,1,nprobe,1,0.32485,30931.3,5,1000,1000000,10000,128,nlist=1024;M=16;nbits=8;train=100000,ok,
