Thread,SucQPS,P99,P95,P90,P80,P70,P50,Total Req,Suc Num,Fail Num,Avg retrieve num,Avg result num,no doc return num,score num
1,299.2066,5.8,5.0,5.0,5.0,5.0,3.0,17952.4,17952.4,0,2008.002,1866.014,2849,15103.4
2,593.65,6.0,5.0,5.0,5.0,5.0,3.0,35619,35619,0,2007.12,1863.996,5679.8,29939.2
4,1167.804,6.0,5.0,5.0,5.0,5.0,3.0,70068.2,70068.2,0,2017.214,1867.394,11172.2,58896
6,1718.222,6.0,5.0,5.0,5.0,5.0,4.0,103093.4,103093.4,0,2020.736,1867.052,16431,86662.4
8,2230.368,7.0,5.0,5.0,5.0,5.0,4.0,133822,133822,0,2020.0,1866.892,21359.2,112462.8
9,2435.4725,9.0,6.0,5.0,5.0,5.0,4.0,146129,146128.25,0.75,2026.035,1869.6925,23316,122812.25
10,2568.132,9.2,6.0,5.0,5.0,5.0,4.0,275409.4,154088,121321.4,2012.088,1870.396,24518,129570
12,2533.19,9.4,6.0,5.8,5.0,5.0,4.0,473909.4,151991.4,321918,2020.152,1869.288,24247,127744.4
16,2553.296,9.6,6.0,6.0,6.0,5.0,4.0,526041.4,153197.8,372843.6,2031.39,1872.856,24319,128878.8
20,2536.946,10.6,7.0,6.0,6.0,6.0,5.0,538123.6,152216.8,385906.8,2021.596,1868.076,24255.2,127961.6
