1.
index,params,recall@10,qps,build_time_s,queries
IVFFlat,"nlist=1024 nprobe=1",0.397720,135977.43,14.029,10000
IVFFlat,"nlist=1024 nprobe=2",0.553430,79929.33,14.029,10000
IVFFlat,"nlist=1024 nprobe=4",0.708310,43240.13,14.029,10000
IVFFlat,"nlist=1024 nprobe=8",0.837110,21701.08,14.029,10000
IVFFlat,"nlist=1024 nprobe=16",0.926870,11956.06,14.029,10000
IVFFlat,"nlist=1024 nprobe=32",0.976790,6124.13,14.029,10000
IVFFlat,"nlist=1024 nprobe=64",0.995240,3071.81,14.029,10000
IVFFlat,"nlist=1024 nprobe=128",0.999080,1607.52,14.029,10000
IVFPQ,"nlist=1024 nprobe=1 m=64 nbits=8",0.389550,252046.63,23.825,10000
IVFPQ,"nlist=1024 nprobe=2 m=64 nbits=8",0.534920,190514.98,23.825,10000
IVFPQ,"nlist=1024 nprobe=4 m=64 nbits=8",0.671670,134050.17,23.825,10000
IVFPQ,"nlist=1024 nprobe=8 m=64 nbits=8",0.774270,88720.38,23.825,10000
IVFPQ,"nlist=1024 nprobe=16 m=64 nbits=8",0.835970,51940.05,23.825,10000
IVFPQ,"nlist=1024 nprobe=32 m=64 nbits=8",0.865050,30334.08,23.825,10000
IVFPQ,"nlist=1024 nprobe=64 m=64 nbits=8",0.874230,15659.27,23.825,10000
IVFPQ,"nlist=1024 nprobe=128 m=64 nbits=8",0.876010,8730.39,23.825,10000
IVFPQfs,"nlist=1024 nprobe=1 m=64 nbits=4 bbs=32 k_reorder=10",0.396940,207156.56,15.775,10000
IVFPQfs,"nlist=1024 nprobe=2 m=64 nbits=4 bbs=32 k_reorder=10",0.551850,186423.25,15.775,10000
IVFPQfs,"nlist=1024 nprobe=4 m=64 nbits=4 bbs=32 k_reorder=10",0.705550,181818.68,15.775,10000
IVFPQfs,"nlist=1024 nprobe=8 m=64 nbits=4 bbs=32 k_reorder=10",0.832440,184942.88,15.775,10000
IVFPQfs,"nlist=1024 nprobe=16 m=64 nbits=4 bbs=32 k_reorder=10",0.919960,173675.26,15.775,10000
IVFPQfs,"nlist=1024 nprobe=32 m=64 nbits=4 bbs=32 k_reorder=10",0.967310,142145.93,15.775,10000
IVFPQfs,"nlist=1024 nprobe=64 m=64 nbits=4 bbs=32 k_reorder=10",0.984440,112721.45,15.775,10000
IVFPQfs,"nlist=1024 nprobe=128 m=64 nbits=4 bbs=32 k_reorder=10",0.987770,81887.53,15.775,10000
2.
index,params,recall@10,qps,build_time_s,queries
IVFFlat,"nlist=1024 nprobe=1",0.397720,140302.70,14.153,10000
IVFFlat,"nlist=1024 nprobe=2",0.553430,77435.06,14.153,10000
